station_code,longitude,value
53612,106.1833,91
53614,106.2,91
53614,106.21,275
53615,106.7,366
53617,106.08,275
53617,106.0833,91
53618,106.25,91
53618,106.26,275
53619,106.3,366
53644,108.83,275
53644,108.8333,91
53646,109.78,275
53646,109.7833,91
53651,110.4667,91
53651,110.47,275
53658,110.48,275
53658,110.4833,91
53659,111.0,366
53660,111.08,275
53660,111.0833,91
53662,111.5667,91
53662,111.57,275
53663,111.8167,91
53663,111.82,275
53664,111.13,275
53664,111.1333,91
53665,111.63,275
53665,111.6333,91
53666,111.93,275
53666,111.9333,91
53669,111.8167,91
53669,111.82,275
53673,112.7167,91
53673,112.72,275
53674,112.7,366
53676,112.98,275
53676,112.9833,91
53677,112.48,275
53677,112.4833,91
53678,112.65,91
53678,112.66,275
53679,112.54,275
53679,112.55,91
53680,114.38,275
53680,114.3833,91
53681,113.3667,91
53681,113.37,275
53682,114.68,275
53682,114.6833,91
53685,113.4167,91
53685,113.42,275
53687,113.63,275
53687,113.6333,91
53688,114.55,366
53689,115.0667,91
53689,115.07,275
53690,114.18,275
53690,114.1833,91
53691,114.5667,91
53691,114.57,275
53692,114.98,275
53692,114.9833,91
53693,114.13,275
53693,114.1333,91
53694,114.2167,91
53694,114.22,275
53695,114.68,275
53695,114.6833,91
53696,115.01,275
53696,115.0167,91
53697,114.83,275
53697,114.8333,91
53698,114.4,366
53699,114.95,366
53704,105.18,275
53704,105.1833,91
53705,105.68,275
53705,105.6833,91
53707,105.25,366
53723,107.24,275
53723,107.25,91
53725,107.58,275
53725,107.5833,91
53727,107.11,275
53727,107.1167,91
53730,107.48,275
53730,107.4833,91
53732,108.7167,91
53732,108.72,275
53735,108.8,366
53738,108.1667,91
53738,108.17,275
53740,109.23,275
53740,109.2333,91
53748,109.7,366
53750,110.18,275
53750,110.1833,91
53751,110.03,275
53751,110.0333,91
53753,110.88,275
53753,110.8833,91
53754,110.2167,91
53754,110.22,275
53756,110.7167,91
53756,110.72,275
53757,110.1167,91
53757,110.12,275
53759,110.83,275
53759,110.8333,91
53760,111.23,275
53760,111.2333,91
53763,112.1667,91
53763,112.17,275
53764,111.1167,91
53764,111.12,275
53767,111.18,275
53767,111.1833,91
53768,111.75,366
53769,111.78,275
53769,111.7833,91
53770,112.35,366
53771,112.05,366
53772,112.58,275
53772,112.5833,91
53773,114.6167,91
53773,114.62,275
53774,112.3667,91
53774,112.37,275
53775,112.59,275
53775,112.6,91
53776,112.78,275
53776,112.7833,91
53777,112.15,366
53778,112.23,275
53778,112.2333,91
53780,113.15,366
53781,114.4667,91
53781,114.47,275
53782,113.6167,91
53782,113.62,275
53783,113.7167,91
53783,113.72,275
53784,114.78,275
53784,114.7833,91
53785,114.6667,91
53785,114.67,275
53786,113.33,275
53786,113.3333,91
53787,112.98,275
53787,112.9833,91
53788,113.5667,91
53788,113.57,275
53789,114.63,275
53789,114.6333,91
53790,114.6,91
53790,114.61,275
53791,114.5,366
53792,114.48,275
53792,114.4833,91
53794,114.78,275
53794,114.7833,91
53795,114.4,91
53795,114.41,275
53796,114.8833,91
53796,114.89,275
53797,114.3833,91
53797,114.39,275
53798,114.36,275
53798,114.3667,91
53799,115.0,366
53806,105.64,275
53806,105.65,91
53810,105.89,275
53810,105.9,91
53817,106.2333,91
53817,106.24,275
53821,107.3,366
53829,107.89,275
53829,107.9,91
53832,108.7667,91
53832,108.77,275
53841,109.3167,91
53841,109.32,275
53845,109.45,366
53848,109.35,366
53850,110.18,275
53850,110.1833,91
53852,110.63,274
53852,110.6333,91
53852,110.64,1
53853,110.95,366
53854,110.0667,91
53854,110.07,275
53856,110.75,366
53857,110.18,275
53857,110.1833,91
53859,110.6667,91
53859,110.67,275
53860,111.1667,91
53860,111.17,275
53861,111.38,275
53861,111.3833,91
53862,111.8,366
53863,111.94,275
53863,111.95,91
53864,111.1,366
53865,111.55,91
53865,111.56,275
53866,111.6667,91
53866,111.67,275
53868,111.5,366
53869,111.7,366
53871,112.8667,91
53871,112.87,275
53872,112.7,366
53873,112.8667,91
53873,112.87,275
53874,111.9,366
53875,112.33,275
53875,112.3333,91
53877,112.25,366
53878,113.3667,91
53878,113.37,275
53879,112.88,275
53879,112.8833,91
53880,113.23,275
53880,113.2333,91
53881,106.48,275
53881,106.4833,91
53882,113.03,275
53882,113.0333,91
53883,114.7,366
53884,113.03,275
53884,113.0333,91
53885,113.2,366
53886,113.6667,91
53886,113.67,275
53888,113.43,275
53888,113.4333,91
53889,113.8667,91
53889,113.87,275
53890,114.1,366
53891,114.68,275
53891,114.6833,91
53892,114.4667,91
53892,114.47,275
53893,115.0,366
53894,114.2,366
53895,114.45,91
53895,114.46,275
53896,114.95,366
53897,114.34,275
53897,114.35,91
53898,114.1333,91
53898,114.14,275
53899,114.9667,91
53899,114.97,275
53903,105.71,275
53903,105.7167,91
53906,105.71,275
53906,105.7167,91
53908,105.23,275
53908,105.2333,91
53910,106.2,366
53914,106.1167,91
53914,106.12,275
53915,106.66,275
53915,106.6667,91
53916,106.31,275
53916,106.3167,91
53917,106.05,91
53917,106.06,275
53923,107.63,275
53923,107.6333,91
53924,107.6167,91
53924,107.62,275
53925,107.21,272
53925,107.2167,91
53925,133.99,3
53926,107.35,366
53927,106.6167,91
53927,106.62,275
53928,107.0167,91
53928,107.02,274
53928,133.99,1
53929,107.8,366
53930,107.9833,91
53930,107.99,275
53931,109.3667,91
53931,109.37,275
53934,107.98,275
53934,107.9833,91
53935,108.4,366
53937,107.8833,91
53937,107.89,275
53938,108.3,366
53941,109.58,275
53941,109.5833,91
53942,109.36,275
53942,109.3667,91
53944,109.2333,90
53944,109.24,275
53944,109.25,1
53945,109.0667,91
53945,109.07,275
53946,109.8167,91
53946,109.82,275
53947,109.0667,91
53947,109.07,275
53948,109.63,275
53948,109.6333,91
53949,109.9167,91
53949,109.92,275
53950,110.1833,91
53950,110.19,275
53953,110.85,91
53953,110.86,275
53954,110.9667,91
53954,110.97,275
53955,110.46,275
53955,110.4667,91
53956,110.85,366
53957,110.7167,91
53957,110.72,275
53958,110.78,275
53958,110.7833,91
53959,111.0667,91
53959,111.07,275
53961,111.4833,91
53961,111.49,275
53962,111.7,366
53963,111.3667,91
53963,111.37,275
53964,111.2,91
53964,111.21,275
53965,111.5667,91
53965,111.57,275
53966,111.83,275
53966,111.8333,91
53967,111.2,366
53968,111.6667,91
53968,111.67,275
53970,112.2,366
53972,112.9,366
53973,112.95,366
53974,114.23,275
53974,114.2333,91
53975,112.4167,91
53975,112.42,275
53976,112.8667,91
53976,112.87,275
53978,112.63,275
53978,112.6333,91
53979,113.08,275
53979,113.0833,91
53980,114.8,366
53981,113.2667,91
53981,113.27,275
53982,113.2667,91
53982,113.27,275
53983,114.41,275
53983,114.4167,91
53984,113.46,275
53984,113.4667,91
53985,113.81,275
53985,113.8167,91
53986,113.91,275
53986,113.9167,91
53987,113.35,91
53987,113.36,275
53988,113.7167,91
53988,113.72,275
53989,113.98,275
53989,113.9833,91
53991,114.33,275
53991,114.3333,91
53992,114.5167,91
53992,114.52,275
53993,114.91,275
53993,114.9167,91
53994,114.1,366
53995,114.45,366
53996,114.65,366
53997,114.2,366
53998,114.65,366
54012,117.63,274
54012,117.6333,91
54012,133.99,1
54024,119.3,366
54026,120.9,366
54027,119.3167,91
54027,119.32,275
54031,121.8167,91
54031,121.82,275
54039,122.0167,91
54039,122.02,275
54041,123.0667,91
54041,123.07,275
54047,123.25,309
54049,123.9667,91
54049,123.97,275
54063,126.0,366
54064,125.15,366
54065,125.65,366
54069,125.8,366
54072,126.5167,91
54072,126.52,275
54076,126.93,275
54076,126.9333,91
54080,127.15,366
54092,129.4,366
54093,130.55,366
54094,129.6667,91
54094,129.67,275
54096,131.18,275
54096,131.1833,91
54098,129.4667,91
54098,129.47,275
54099,131.11,275
54099,131.1167,91
54102,116.1167,91
54102,116.12,275
54113,118.63,275
54113,118.6333,91
54115,118.03,275
54115,118.0333,91
54117,117.53,275
54117,117.5333,91
54122,120.03,275
54122,120.0333,91
54132,121.0667,91
54132,121.07,275
54134,121.28,275
54134,121.2833,91
54135,122.2667,91
54135,122.27,275
54142,123.44,275
54142,123.45,90
54142,134.0,1
54154,124.3,366
54155,124.23,275
54155,124.2333,91
54156,124.8,366
54157,124.3833,91
54157,124.39,275
54161,125.2167,91
54161,125.22,275
54164,125.28,275
54164,125.2833,91
54165,125.63,275
54165,125.6333,91
54169,126.0167,91
54169,126.02,275
54171,126.5167,91
54171,126.52,275
54172,126.53,164
54172,126.5333,91
54172,126.54,111
54181,127.33,275
54181,127.3333,91
54186,128.2,366
54187,128.9167,91
54187,128.92,275
54192,130.2667,91
54192,130.27,275
54195,129.78,275
54195,129.7833,91
54204,115.03,275
54204,115.0333,91
54205,116.0,366
54208,116.4667,91
54208,116.47,275
54213,119.0167,91
54213,119.02,275
54214,118.4167,91
54214,118.42,275
54218,118.83,275
54218,118.8333,91
54223,120.65,366
54225,119.94,275
54225,119.95,91
54226,120.7,366
54231,122.3667,91
54231,122.37,275
54234,121.7833,34
54234,121.79,275
54236,122.55,366
54237,121.75,366
54243,124.09,275
54243,124.1,91
54244,123.35,366
54245,123.4,366
54248,123.53,275
54248,123.5333,91
54249,123.86,275
54249,123.8667,91
54252,124.7333,91
54252,124.74,275
54254,124.05,366
54259,124.8667,91
54259,124.87,275
54260,125.08,275
54260,125.0833,91
54261,125.4667,91
54261,125.47,275
54263,126.08,275
54263,126.0833,91
54266,125.63,275
54266,125.6333,91
54267,125.73,275
54267,125.7333,91
54273,126.75,366
54274,125.9833,91
54274,125.99,275
54276,126.8,366
54279,126.58,275
54279,126.5833,91
54284,127.5,366
54285,128.1167,91
54285,128.12,275
54286,129.0,366
54287,128.08,172
54290,129.4,366
54291,130.35,366
54292,129.5,366
54293,129.83,275
54293,129.8333,91
54301,115.65,366
54304,115.2667,91
54304,115.27,275
54305,115.2667,91
54305,115.27,275
54308,116.63,275
54308,116.6333,91
54311,117.7667,91
54311,117.77,275
54313,118.7,366
54316,118.75,366
54318,117.73,275
54318,117.7333,91
54319,118.6667,91
54319,118.67,275
